Cell_ID	Mark_ID	CellType	Assay	Training(T),Validation(V),Blind-test(B)	fileName
C01	M16	adipose_tissue	H3K27ac	T	C01M16.bigwig
C02	M01	adrenal_gland	ATAC-seq	T	C02M01.bigwig
C02	M02	adrenal_gland	DNase-seq	T	C02M02.bigwig
C02	M16	adrenal_gland	H3K27ac	T	C02M16.bigwig
C02	M18	adrenal_gland	H3K36me3	T	C02M18.bigwig
C02	M20	adrenal_gland	H3K4me1	T	C02M20.bigwig
C02	M22	adrenal_gland	H3K4me3	V	C02M22.bigwig
C02	M29	adrenal_gland	H3K9me3	T	C02M29.bigwig
C03	M02	adrenal_gland (embryonic)	DNase-seq	V	C03M02.bigwig
C03	M16	adrenal_gland (embryonic)	H3K27ac	T	C03M16.bigwig
C03	M17	adrenal_gland (embryonic)	H3K27me3	T	C03M17.bigwig
C03	M18	adrenal_gland (embryonic)	H3K36me3	T	C03M18.bigwig
C03	M20	adrenal_gland (embryonic)	H3K4me1	T	C03M20.bigwig
C03	M22	adrenal_gland (embryonic)	H3K4me3	T	C03M22.bigwig
C03	M29	adrenal_gland (embryonic)	H3K9me3	T	C03M29.bigwig
C04	M16	amnion	H3K27ac	V	C04M16.bigwig
C04	M17	amnion	H3K27me3	T	C04M17.bigwig
C04	M18	amnion	H3K36me3	T	C04M18.bigwig
C04	M20	amnion	H3K4me1	T	C04M20.bigwig
C04	M22	amnion	H3K4me3	T	C04M22.bigwig
C04	M29	amnion	H3K9me3	T	C04M29.bigwig
C05	M02	BE2C	DNase-seq	T	C05M02.bigwig
C05	M17	BE2C	H3K27me3	B	C05M17.bigwig
C05	M18	BE2C	H3K36me3	B	C05M18.bigwig
C05	M20	BE2C	H3K4me1	B	C05M20.bigwig
C05	M22	BE2C	H3K4me3	T	C05M22.bigwig
C05	M29	BE2C	H3K9me3	B	C05M29.bigwig
C06	M02	brain_microvascular_endothelial_cell	DNase-seq	T	C06M02.bigwig
C06	M16	brain_microvascular_endothelial_cell	H3K27ac	B	C06M16.bigwig
C06	M17	brain_microvascular_endothelial_cell	H3K27me3	B	C06M17.bigwig
C06	M18	brain_microvascular_endothelial_cell	H3K36me3	B	C06M18.bigwig
C06	M22	brain_microvascular_endothelial_cell	H3K4me3	T	C06M22.bigwig
C07	M02	Caco-2	DNase-seq	T	C07M02.bigwig
C07	M17	Caco-2	H3K27me3	T	C07M17.bigwig
C07	M18	Caco-2	H3K36me3	T	C07M18.bigwig
C07	M20	Caco-2	H3K4me1	B	C07M20.bigwig
